2025-06-30 21:32:14,493 - FBDWarehouse - INFO - Retrieved block FPC91 (color: M1, part: out_layer) - 2 parameters
2025-06-30 21:32:14,493 - FBDWarehouse - INFO - Retrieved block ALT34 (color: M2, part: in_layer) - 6 parameters
2025-06-30 21:32:14,493 - FBDWarehouse - INFO - Retrieved block BVP97 (color: M2, part: layer1) - 24 parameters
2025-06-30 21:32:14,494 - FBDWarehouse - INFO - Retrieved block CNF57 (color: M2, part: layer2) - 30 parameters
2025-06-30 21:32:14,494 - FBDWarehouse - INFO - Retrieved block DWJ41 (color: M2, part: layer3) - 30 parameters
2025-06-30 21:32:14,495 - FBDWarehouse - INFO - Retrieved block EGO46 (color: M2, part: layer4) - 30 parameters
2025-06-30 21:32:14,496 - FBDWarehouse - INFO - Retrieved block FBI78 (color: M2, part: out_layer) - 2 parameters
2025-06-30 21:32:14,496 - FBDWarehouse - INFO - Retrieved block AUV29 (color: M5, part: in_layer) - 6 parameters
2025-06-30 21:32:14,496 - FBDWarehouse - INFO - Retrieved block BYM04 (color: M5, part: layer1) - 24 parameters
2025-06-30 21:32:14,496 - FBDWarehouse - INFO - Retrieved block CRZ52 (color: M5, part: layer2) - 30 parameters
2025-06-30 21:32:14,496 - FBDWarehouse - INFO - Retrieved block DPX98 (color: M5, part: layer3) - 30 parameters
2025-06-30 21:32:14,497 - FBDWarehouse - INFO - Retrieved block EVN36 (color: M5, part: layer4) - 30 parameters
2025-06-30 21:32:14,497 - FBDWarehouse - INFO - Retrieved block FSY05 (color: M5, part: out_layer) - 2 parameters
2025-06-30 21:32:14,551 - FBDWarehouse - INFO - Initializing warehouse with empty blocks - will be populated during training
2025-06-30 21:32:14,551 - FBDWarehouse - INFO - Warehouse initialization complete - 36 blocks ready
